long,lat
-122.19615,47.894423
-122.116674,47.363112
-122.34619,47.615293
-122.221114,48.097872
-122.529023,47.248924
-122.297534,47.685291
-122.324308,47.149041
-122.375438,47.667804
-122.151342,47.560192
-122.250701,48.368138
-122.357206,47.501207
-122.227947,47.565443
-122.30033,47.585339
-122.024951,47.670286
-122.298657,47.663771
-122.394511,47.574001
-122.297534,47.685291
-122.390587,45.83793
-122.537695,47.205343
-122.751179,47.002092
-122.394511,47.574001
-122.658901,47.466778
-122.526506,47.81346
-122.201515,47.843376
-122.343983,47.739969
-122.379354,47.687571
-122.469847,47.247509
-122.281856,47.811678
-122.261993,45.622947
-119.359162,46.29453
-122.151342,47.560192
-122.151342,47.560192
-122.343577,47.672491
-122.343577,47.672491
-122.469161,47.415443
-122.370709,47.801416
-122.394511,47.574001
-122.183961,47.510245
-122.346385,47.630685
-122.212105,47.792368
-122.692143,45.797008
-122.86836,47.085951
-122.132064,47.494834
-122.246193,47.755504
-122.408498,45.620943
-122.375438,47.667804
-122.122018,47.678465
-122.362029,47.308531
-122.302507,47.911921
-122.328611,47.602601
-122.343577,47.672491
-122.215501,47.476576
-122.188994,47.678406
-122.447791,47.1543
-117.404476,47.629317
-122.215501,47.476576
-118.98992,46.371381
-122.085999,48.016305
-122.024951,47.670286
-122.30033,47.585339
-120.241485,47.454995
-117.505436,47.633834
-122.510748,45.603727
-122.298657,47.663771
-122.388955,47.537382
-122.633393,47.748427
-119.285025,46.247465
-122.188994,47.678406
-122.303604,47.716244
-122.010741,47.506838
-122.201515,47.843376
-122.493388,48.74995
-122.30033,47.585339
-122.024951,47.670286
-122.195157,47.988773
-122.132064,47.494834
-122.024951,47.670286
-122.333046,47.829439
-122.534497,47.643688
-122.399558,47.648651
-122.86836,47.085951
-122.399558,47.648651
-122.249664,47.497442
-122.493388,48.74995
-122.057522,47.749161
-122.014191,47.559121
-122.874042,46.998873
-122.455353,48.945625
-122.751179,47.002092
-122.204248,47.719278
-122.195157,47.988773
-122.057522,47.749161
-122.024951,47.670286
-122.624654,47.246271
-122.014191,47.559121
-117.505436,47.633834
-122.201515,47.843376
-117.440012,47.753036
-122.303324,47.756486
-122.354954,47.537664
-122.308752,48.21817
-122.519414,45.630173
-122.275593,47.54055
-122.010741,47.506838
-119.094434,48.280155
-122.143231,47.611666
-121.819086,47.539931
-122.227947,47.565443
-120.646044,46.609142
-117.083224,47.660645
-122.275593,47.54055
-122.686329,45.713105
-122.028168,47.586173
-122.227707,47.943014
-122.117365,47.609515
-122.297534,47.685291
-122.30033,47.585339
-122.203169,47.619011
-122.522657,45.795099
-118.98992,46.371381
-122.303604,47.716244
-122.122018,47.678465
-122.168422,47.614824
-122.266367,47.863478
-122.367721,47.639264
-122.573304,47.4293
-122.303413,47.61065
-121.561247,47.859677
-122.010741,47.506838
-122.370709,47.801416
-121.910037,47.06488
-122.261321,47.390601
-122.246193,47.755504
-122.151342,47.560192
-122.346385,47.630685
-122.414936,48.709388
-122.69441,47.905058
-122.522657,45.795099
-122.188994,47.678406
-122.02812,47.393554
-122.506857,47.285977
-122.303604,47.716244
-122.024951,47.670286
-121.819086,47.539931
-123.084302,48.544106
-122.201515,47.843376
-122.188994,47.678406
-122.362029,47.308531
-122.265368,47.133331
-122.519414,45.630173
-122.399558,47.648651
-120.159636,48.51712
-122.751179,47.002092
-122.122018,47.678465
-122.195381,47.369696
-122.296466,47.631708
-122.085999,48.016305
-122.151342,47.560192
-122.313367,47.310006
-117.426536,47.647896
-122.454718,48.801538
-117.440012,47.753036
-122.042724,47.623594
-122.010741,47.506838
-122.375438,47.667804
-122.024951,47.670286
-122.447436,47.223022
-122.296466,47.631708
