station_id,charging_status,latitude,longtitude,address,zip_code,outlet_counts
145879,TRUE,47.999006,-122.205272,1800 14th St.,98201,1
145878,TRUE,47.998233,-122.100638,9601 Market Place,98258,3
145875,TRUE,47.97208,-122.200225,3402 McDougall Ave.,98201,1
145874,TRUE,47.96,-122.19,2000 W Marine View Dr,98201,2
145872,TRUE,47.9487555,-122.3062009,609 Front Street,98275,1
145871,TRUE,47.919531,-122.232309,8530 Evergreen Way,98204,1
145870,TRUE,47.913486,-122.213314,1605 SE Everett Mall Way,98208,2
145867,TRUE,47.893501,-122.256001,11400 Hwy. 99,98204,3
145866,TRUE,47.8834444,-122.2374825,12711 4th Ave W,98204,1
145864,TRUE,47.8789325,-122.2071316,13110 Bothell Everett Hwy,98208,1
145863,TRUE,47.865164,-121.973176,19191 N Kelsey Street,98272,3
145861,TRUE,47.848697,-122.246153,16423 Larch Way,98037,1
145860,TRUE,47.84839,-122.27274,2902 164th Street SW,98037,1
145855,TRUE,47.831991,-122.267332,18305 Alderwood Mall Pkwy,98037,3
145853,TRUE,47.828644,-122.310875,5711 188th St SW,98037,1
145850,TRUE,47.820568,-122.273567,3000 196th St SW,98036,2
145849,TRUE,47.8142359,-122.3016909,20311 52nd Avenue West,98036,1
145848,TRUE,47.8051107,-122.3813841,600 3rd Avenue South,98020,1
145847,TRUE,47.8045651,-122.1205486,8310 Maltby Road,98072,1
145846,TRUE,47.8040624,-122.3735496,100 6th Avenue,98020,1
145843,TRUE,47.776781,-122.181535,3830 Monte Villa Parkway,98021,1
145842,TRUE,47.771795,-122.1809892,19909 120th Ave NE,98011,1
145841,TRUE,47.761858,-122.19188,18140 Campus Way NE,98011,1
145840,TRUE,47.760178,-122.190581,18500 Campus Way NE,98011,1
145839,TRUE,47.756603,-122.345231,17524 Aurora Ave N,98133,1
145838,TRUE,47.7548511,-122.1556007,13780 NE 175th St,98072,1
145837,TRUE,47.75381088,-122.3465042,17001 Aurora Ave N,98133,2
145836,TRUE,47.75247955,-117.4108429,10503 N Division,99218,1
145835,TRUE,47.7466244,-122.6369159,20148 10th Ave. NE,98370,1
145834,TRUE,47.7463188,-121.089984,Stevens Pass Mountain Resort,98288,1
145833,TRUE,47.743364,-122.347816,15711 Aurora Ave N,98133,1
145832,TRUE,47.736632,-122.647204,19133 Jensen Way NE,98370,1
145831,TRUE,47.723689,-122.292383,13000 Lake City Way NE,98125,2
145830,TRUE,47.7199844,-122.3440925,12500 Aurora Avenue,98133,1
145829,TRUE,47.717847,-122.294307,12311 32nd Ave NE,98125,1
145828,TRUE,47.708482,-122.183522,12221 120th Ave NE,98034,2
145827,TRUE,47.708457,-122.324887,401 NE Northgate Way,98125,3
145826,TRUE,47.7047402,-122.2108592,11607 98th Ave NE,98034,1
145825,TRUE,47.704069,-122.167006,11605 132nd Ave NE,98034,1
145824,TRUE,47.703632,-122.3565066,211 N. 103rd ST,98133,1
145823,TRUE,47.7034052,-122.1537852,11431 Willows Road,98052,1
145822,TRUE,47.7033895,-122.3558363,10215 Greenwood Ave. North,98133,1
145821,TRUE,47.7033,-122.32519,401 NE Northgate Way,98125,3
145820,TRUE,47.70224,-122.624811,611 Dowell Rd,98345,1
145819,TRUE,47.701879,-122.343086,10006 Aurora Ave N,98133,1
145818,TRUE,47.6992271,-122.3346258,9600 College Way N,98103,2
145817,TRUE,47.682585,-122.317187,7300 Roosevelt Way NE,98115,1
145814,TRUE,47.67881,-122.17536,12405 NE 85th St,98033,1
145813,TRUE,47.6780547,-122.3141185,1205 NE 66th ST,98115,1
145812,TRUE,47.677868,-122.19936,321 Park Pl,98033,1
145811,TRUE,47.6755563,-122.2073834,52 Kirkland Ave,98033,1
145810,TRUE,47.675378,-117.206738,15015  E Indiana Ave,99216,1
145809,TRUE,47.674374,-122.127167,16015 Cleveland St,98052,1
145808,TRUE,47.674027,-122.103001,17770 NE 78th Pl,98053,1
145807,TRUE,47.67269897,-117.1000595,1620 N Signal Dr,99019,1
145806,TRUE,47.670707,-122.103973,17667 NE 76TH ST,98052,1
145804,TRUE,47.6689554,-122.3888077,2428 NW Market St,98107,1
145803,TRUE,47.6680506,-117.4063003,302 E Boone Ave,99202,1
145802,TRUE,47.66802979,-117.1837921,"16418 E Indiana,",99216,1
145801,TRUE,47.6674691,-117.1493042,19011 E Cataldo Ave,99016,2
145800,TRUE,47.6665847,-122.0991426,18005 Northeast 68th Street,98052,1
145799,TRUE,47.6654703,-122.3502919,750 N 50th St,98103,2
145798,TRUE,47.663497,-122.30069,2520 NE University Village St,98105,1
145797,TRUE,47.66310501,-117.4004898,721 N Cincinnati,99201,2
145796,TRUE,47.662343,-122.370015,907 NW Ballard Way,98107,1
145795,TRUE,47.662197,-117.431889,500 N Cedar St,99201,3
145794,TRUE,47.659948,-117.423395,777 W. Spokane Falls Blvd,99201,1
145792,TRUE,47.658808,-122.688751,10315 Silverdale Way NW,98383,1
145791,TRUE,47.658557,-122.312143,1414 NE 42nd Street,98105,1
145790,TRUE,47.658,-122.712,1035 Trident Blvd,98315,1
145789,TRUE,47.65753,-122.206519,3000 Carillon Point,98033,1
145787,TRUE,47.656979,-122.692138,10315 Silverdale Way NW,98383,1
145786,TRUE,47.65588111,-122.3827633,4005 20th Avenue West,98199,1
145784,TRUE,47.655327,-122.205254,5000 Carillon Point,98033,1
145781,TRUE,47.652505,-122.694367,3909 NW Randall Way,98383,2
145780,TRUE,47.649189,-117.412879,101 W 8th Ave,99204,1
145778,TRUE,47.6439379,-122.1965663,S Kirkland P&R,98033,1
145777,TRUE,47.6357914,-122.5148321,1315 Wintergreen Lane NE,98110,1
145776,TRUE,47.6356394,-122.7238278,"5455 NW Newberry Hill Rd., #201",98383,1
145775,TRUE,47.633992,-122.339684,1700 Westlake Ave N,98109,1
145774,TRUE,47.633041,-122.136031,2580 152nd Avenue NE,98052,1
145773,TRUE,47.630585,-122.15664,2301 140th Ave NE,98005,1
145772,TRUE,47.628786,-122.34272,1101 Dexter Ave N,98109,1
145771,TRUE,47.628472,-122.205736,2088 Bellevue Square,98004,1
145770,TRUE,47.628428,-122.143153,2041 148TH NE,98007,1
145769,TRUE,47.6283848,-122.3418983,1000 Dexter Avenue North,98109,1
145768,TRUE,47.6274037,-122.1578742,1805-1999 136th Pl NE,98005,1
145767,TRUE,47.6266892,-122.341933,"810 Dexter Ave., North",98109,1
145766,TRUE,47.626541,-122.155852,13817 NE 20th St,98005,2
145765,TRUE,47.626531,-122.329993,"825 Eastlake Ave E, LA-104",98109,1
